Training_Record_ID,Batch_ID,Associate_ID,Experience_Level,RCM_Function,Client,Trainer_ID,Training_Type,Training_Mode,Training_Start_Date,Training_End_Date,Planned_Days,Actual_Days,Planned_Hours,Actual_Training_Hours,Productive_Hours,Non_Productive_Hours,Trainer_Available_Hours,Trainer_Utilization_Pct,Assessment_Score,Assessment_Attempts,First_Pass,Quality_Score,Productivity_Score,Floor_Support_Cases,Knowledge_Gap_Count,Retraining_Hours,Completion_Status,Month,Training_Week,Extended Training 
18,BAT202605-01,ASS0005,Fresher,Payment Posting,Client Delta,TR008,CST,Floor,2026-05-10 00:00:00,2026-05-12 00:00:00,3,3,24,22.9,15.2,7.7,24.2,94.6,92,1,Yes,82.6,83.4,3,4,1.3,Completed,May-2026,19,0
19,BAT202605-01,ASS0005,Fresher,Payment Posting,Client Delta,TR008,LAW,Classroom,2026-05-13 00:00:00,2026-05-22 00:00:00,10,10,80,78.8,71,7.8,82,96.1,84,1,Yes,83.8,93.4,5,1,0.7,Completed,May-2026,20,0
20,BAT202605-01,ASS0005,Fresher,Payment Posting,Client Delta,TR008,OJT,Hybrid,2026-05-23 00:00:00,2026-06-16 00:00:00,25,25,200,193.4,177,16.4,202,95.7,81,1,Yes,89.6,81.2,6,0,1.4,Completed,May-2026,21,0
21,BAT202601-01,ASS0006,Experienced,Billing,Client Delta,TR001,Generic Training,Floor,2026-01-21 00:00:00,2026-01-22 00:00:00,2,2,16,13.6,8.6,5,16.1,84.5,85,1,Yes,85,68.6,0,0,1.9,Completed,Jan-2026,4,0
22,BAT202601-01,ASS0006,Experienced,Billing,Client Delta,TR001,CST,Floor,2026-01-23 00:00:00,2026-01-25 00:00:00,3,3,24,17.7,16,1.7,22.4,79,86,2,No,90.9,95.6,0,2,2.5,Completed,Jan-2026,4,0
23,BAT202601-01,ASS0006,Experienced,Billing,Client Delta,TR001,LAW,Classroom,2026-01-26 00:00:00,2026-02-01 00:00:00,5,7,40,34.1,19.8,14.3,37.6,90.7,74,1,Yes,84.3,61.6,4,2,1.9,Completed,Jan-2026,5,1
24,BAT202602-01,ASS0006,Experienced,Billing,Client Delta,TR001,OJT,Floor,2026-02-02 00:00:00,2026-02-16 00:00:00,15,15,120,120,94.7,25.3,127.7,94,77,1,Yes,86.6,91.8,7,0,0.6,Completed,Feb-2026,6,0
25,BAT202606-01,ASS0007,Experienced,AUTH,Client Beta,TR006,Generic Training,Virtual,2026-06-05 00:00:00,2026-06-06 00:00:00,2,2,16,13.9,12.2,1.7,16.3,85.3,74,1,Yes,79,78.8,0,0,0.3,Completed,Jun-2026,23,0
26,BAT202606-01,ASS0007,Experienced,AUTH,Client Beta,TR006,CST,Virtual,2026-06-07 00:00:00,2026-06-08 00:00:00,3,2,24,20.2,14.3,5.9,25.9,78,88,1,Yes,87.1,92.4,1,1,0.8,Completed,Jun-2026,23,0
27,BAT202606-01,ASS0007,Experienced,AUTH,Client Beta,TR006,LAW,Hybrid,2026-06-09 00:00:00,2026-06-13 00:00:00,5,5,40,35.9,26.2,9.7,37.1,96.8,85,1,Yes,100,83.7,7,0,0,Completed,Jun-2026,24,0
28,BAT202606-01,ASS0007,Experienced,AUTH,Client Beta,TR006,OJT,Floor,2026-06-14 00:00:00,2026-06-28 00:00:00,15,15,120,118.6,100.5,18.1,119.1,99.6,81,1,Yes,81.5,100,10,1,1,Completed,Jun-2026,24,0
29,BAT202607-01,ASS0008,Experienced,CBR,River Health,TR004,Generic Training,Virtual,2026-07-07 00:00:00,2026-07-08 00:00:00,2,2,16,13.6,11.4,2.2,17,80,85,1,Yes,75,60.3,3,2,0.4,Completed,Jul-2026,28,0
30,BAT202607-01,ASS0008,Experienced,CBR,River Health,TR004,CST,Hybrid,2026-07-09 00:00:00,2026-07-11 00:00:00,3,3,24,24,14.2,9.8,24.5,98,68,3,No,74.5,80.1,2,0,7.2,Completed,Jul-2026,28,0
31,BAT202607-01,ASS0008,Experienced,CBR,River Health,TR004,LAW,Floor,2026-07-12 00:00:00,2026-07-17 00:00:00,5,6,40,37.3,26,11.3,40.2,92.8,88,1,Yes,92.1,76.5,7,0,0.9,Completed,Jul-2026,28,1
32,BAT202607-01,ASS0008,Experienced,CBR,River Health,TR004,OJT,Floor,2026-07-18 00:00:00,2026-08-01 00:00:00,15,15,120,104,66.5,37.5,124.7,83.4,72,1,Yes,80.8,71.2,6,1,0.6,Completed,Jul-2026,29,0
33,BAT202607-01,ASS0009,Fresher,Payment Posting,River Health,TR008,Generic Training,Virtual,2026-07-10 00:00:00,2026-07-19 00:00:00,8,10,64,54.8,42.5,12.3,68.9,79.5,75,1,Yes,82.1,73.7,1,0,0.8,Completed,Jul-2026,28,1
34,BAT202607-01,ASS0009,Fresher,Payment Posting,River Health,TR008,CST,Classroom,2026-07-20 00:00:00,2026-07-25 00:00:00,5,6,40,36.3,27,9.3,38.9,93.3,84,1,Yes,90,72.2,3,1,0.5,Completed,Jul-2026,30,1
35,BAT202607-01,ASS0009,Fresher,Payment Posting,River Health,TR008,LAW,Hybrid,2026-07-26 00:00:00,2026-08-03 00:00:00,10,9,80,67.9,54.3,13.6,81.2,83.6,70,1,Yes,88.1,75.5,6,1,0.7,Completed,Jul-2026,30,0
36,BAT202608-01,ASS0009,Fresher,Payment Posting,River Health,TR008,OJT,Floor,2026-08-04 00:00:00,2026-08-29 00:00:00,25,26,200,188.6,142.8,45.8,213.1,88.5,75,3,No,91.3,80.1,7,2,4.7,Completed,Aug-2026,32,1
37,BAT202606-01,ASS0010,Experienced,AUTH,Client Gamma,TR003,Generic Training,Classroom,2026-06-19 00:00:00,2026-06-20 00:00:00,2,2,16,13.3,10.9,2.4,17,78.2,88,1,Yes,67.3,84.4,2,1,1.1,Completed,Jun-2026,25,0
38,BAT202606-01,ASS0010,Experienced,AUTH,Client Gamma,TR003,CST,Virtual,2026-06-21 00:00:00,2026-06-24 00:00:00,2,4,16,13.6,10.9,2.7,15.9,85.5,92,1,Yes,83.2,77.7,3,1,1.1,Completed,Jun-2026,25,1
39,BAT202606-01,ASS0010,Experienced,AUTH,Client Gamma,TR003,LAW,Floor,2026-06-25 00:00:00,2026-06-29 00:00:00,5,5,40,40,26.9,13.1,40.6,98.5,82,1,Yes,84.9,89.2,9,0,1.8,Completed,Jun-2026,26,0
40,BAT202606-01,ASS0010,Experienced,AUTH,Client Gamma,TR003,OJT,Floor,2026-06-30 00:00:00,2026-07-14 00:00:00,15,15,120,120,79.2,40.8,117.7,102,95,1,Yes,83.4,77.3,4,1,1.6,Completed,Jun-2026,27,0
41,BAT202601-02,ASS0011,Experienced,Billing,Client Beta,TR007,Generic Training,Classroom,2026-01-29 00:00:00,2026-02-01 00:00:00,3,4,24,20.3,9,11.3,25.1,80.9,83,1,Yes,92.2,80.1,1,0,0.4,Completed,Jan-2026,5,1
42,BAT202602-02,ASS0011,Experienced,Billing,Client Beta,TR007,CST,Classroom,2026-02-02 00:00:00,2026-02-03 00:00:00,2,2,16,15.3,11.7,3.6,15.7,97.5,82,1,Yes,94.9,83.8,1,1,0.7,Completed,Feb-2026,6,0
43,BAT202602-02,ASS0011,Experienced,Billing,Client Beta,TR007,LAW,Classroom,2026-02-04 00:00:00,2026-02-08 00:00:00,5,5,40,34.2,29.6,4.6,42.5,80.5,85,1,Yes,95.3,84.3,6,3,1.7,Completed,Feb-2026,6,0
44,BAT202602-02,ASS0011,Experienced,Billing,Client Beta,TR007,OJT,Classroom,2026-02-09 00:00:00,2026-02-23 00:00:00,15,15,120,120,66.9,53.1,112.1,107,85,1,Yes,100,83.5,11,3,1.8,Completed,Feb-2026,7,0
45,BAT202602-02,ASS0012,Experienced,Payment Posting,Revere Health,TR002,Generic Training,Hybrid,2026-02-20 00:00:00,2026-02-21 00:00:00,2,2,16,14.6,12.1,2.5,15.9,91.8,93,1,Yes,80.6,78.3,2,0,1,Completed,Feb-2026,8,0
46,BAT202602-02,ASS0012,Experienced,Payment Posting,Revere Health,TR002,CST,Floor,2026-02-22 00:00:00,2026-02-24 00:00:00,3,3,24,23.2,18.7,4.5,24.7,93.9,92,1,Yes,90.9,70,1,2,1,Completed,Feb-2026,8,0
47,BAT202602-02,ASS0012,Experienced,Payment Posting,Revere Health,TR002,LAW,Hybrid,2026-02-25 00:00:00,2026-02-28 00:00:00,5,4,40,37.4,17.3,20.1,37.2,100.5,76,1,Yes,88.5,73,11,1,1.8,Completed,Feb-2026,9,0
48,BAT202603-02,ASS0012,Experienced,Payment Posting,Revere Health,TR002,OJT,Classroom,2026-03-01 00:00:00,2026-03-15 00:00:00,15,15,120,106.3,82.3,24,117.1,90.8,83,1,Yes,72,80.8,6,1,1.2,Completed,Mar-2026,9,0
49,BAT202608-02,ASS0013,Fresher,Billing,River Health,TR003,Generic Training,Classroom,2026-08-21 00:00:00,2026-08-28 00:00:00,8,8,64,53.4,44.6,8.8,64.9,82.3,68,3,No,84.2,94.8,6,3,2.7,Completed,Aug-2026,34,0
50,BAT202608-02,ASS0013,Fresher,Billing,River Health,TR003,CST,Floor,2026-08-29 00:00:00,2026-09-02 00:00:00,5,5,40,39.3,27.5,11.8,40.9,96.1,80,1,Yes,91.3,89.9,0,1,1.1,Completed,Aug-2026,35,0
51,BAT202609-02,ASS0013,Fresher,Billing,River Health,TR003,LAW,Floor,2026-09-03 00:00:00,2026-09-12 00:00:00,10,10,80,75.6,62.1,13.5,85.6,88.3,61,2,No,75.7,86.1,8,4,4.9,Completed,Sep-2026,36,0
52,BAT202609-02,ASS0013,Fresher,Billing,River Health,TR003,OJT,Classroom,2026-09-13 00:00:00,2026-10-07 00:00:00,25,25,200,164.8,111.3,53.5,184.6,89.3,96,1,Yes,79,89.9,3,2,1.4,Completed,Sep-2026,37,0
53,BAT202608-02,ASS0014,Fresher,Payment Posting,Client Gamma,TR005,Generic Training,Virtual,2026-08-21 00:00:00,2026-08-29 00:00:00,7,9,56,53.5,43.5,10,51.8,103.3,81,1,Yes,86.4,77.2,1,4,1,Completed,Aug-2026,34,1
54,BAT202608-02,ASS0014,Fresher,Payment Posting,Client Gamma,TR005,CST,Hybrid,2026-08-30 00:00:00,2026-09-02 00:00:00,4,4,32,31.2,17.2,14,31.8,98.1,83,1,Yes,87.4,82,4,1,1,Completed,Aug-2026,35,0
55,BAT202609-02,ASS0014,Fresher,Payment Posting,Client Gamma,TR005,LAW,Hybrid,2026-09-03 00:00:00,2026-09-11 00:00:00,10,9,80,77.6,54.3,23.3,76.7,101.2,72,1,Yes,93.8,82.5,12,0,0.3,Completed,Sep-2026,36,0
56,BAT202609-02,ASS0014,Fresher,Payment Posting,Client Gamma,TR005,OJT,Classroom,2026-09-12 00:00:00,2026-10-06 00:00:00,25,25,200,180.4,135.6,44.8,213.1,84.7,75,1,Yes,94.3,81.1,0,0,1.1,Completed,Sep-2026,37,0
57,BAT202608-02,ASS0015,Experienced,Charge Entry,River Health,TR007,Generic Training,Hybrid,2026-08-16 00:00:00,2026-08-17 00:00:00,2,2,16,14.1,10.4,3.7,15.2,92.8,79,1,Yes,87.5,81.5,2,2,1.5,Completed,Aug-2026,33,0
58,BAT202608-02,ASS0015,Experienced,Charge Entry,River Health,TR007,CST,Virtual,2026-08-18 00:00:00,2026-08-20 00:00:00,3,3,24,22.1,14.4,7.7,25.2,87.7,81,1,Yes,81.3,100,3,0,0,Completed,Aug-2026,34,0
59,BAT202608-02,ASS0015,Experienced,Charge Entry,River Health,TR007,LAW,Classroom,2026-08-21 00:00:00,2026-08-25 00:00:00,5,5,40,39.2,28,11.2,38.9,100.8,94,1,Yes,86.9,86.6,9,2,1.7,Completed,Aug-2026,34,0
60,BAT202608-02,ASS0015,Experienced,Charge Entry,River Health,TR007,OJT,Classroom,2026-08-26 00:00:00,2026-09-09 00:00:00,15,15,120,117,70.6,46.4,125.7,93.1,100,1,Yes,82.6,77.2,2,0,1.8,Completed,Aug-2026,35,0
61,BAT202608-02,ASS0016,Experienced,Charge Entry,Revere Health,TR006,Generic Training,Classroom,2026-08-14 00:00:00,2026-08-16 00:00:00,3,3,24,21.6,19.4,2.2,23.6,91.5,81,1,Yes,74.6,66.1,2,1,0.6,Completed,Aug-2026,33,0
62,BAT202608-02,ASS0016,Experienced,Charge Entry,Revere Health,TR006,CST,Floor,2026-08-17 00:00:00,2026-08-18 00:00:00,2,2,16,15.6,11.8,3.8,16.5,94.5,86,1,Yes,78.3,81.5,2,1,0.7,Completed,Aug-2026,34,0
63,BAT202608-02,ASS0016,Experienced,Charge Entry,Revere Health,TR006,LAW,Classroom,2026-08-19 00:00:00,2026-08-23 00:00:00,5,5,40,37,24.1,12.9,40.3,91.8,71,1,Yes,83.8,91.9,5,3,0.7,Completed,Aug-2026,34,0
64,BAT202608-02,ASS0016,Experienced,Charge Entry,Revere Health,TR006,OJT,Classroom,2026-08-24 00:00:00,2026-09-07 00:00:00,15,15,120,117.3,99.9,17.4,127.1,92.3,83,1,Yes,89.2,100,2,0,2,Completed,Aug-2026,35,0
65,BAT202607-02,ASS0017,Fresher,AUTH,Client Gamma,TR005,Generic Training,Virtual,2026-07-06 00:00:00,2026-07-13 00:00:00,8,8,64,62.1,32.3,29.8,67.5,92,73,1,Yes,85.9,77.9,2,2,1,Completed,Jul-2026,28,0
66,BAT202607-02,ASS0017,Fresher,AUTH,Client Gamma,TR005,CST,Virtual,2026-07-14 00:00:00,2026-07-18 00:00:00,5,5,40,34.2,32.5,1.7,39.8,85.9,86,1,Yes,98.5,66.6,4,1,1.6,Completed,Jul-2026,29,0
67,BAT202607-02,ASS0017,Fresher,AUTH,Client Gamma,TR005,LAW,Hybrid,2026-07-19 00:00:00,2026-07-28 00:00:00,10,10,80,80,67.8,12.2,73.7,108.5,84,1,Yes,67.4,80.9,7,1,0.8,Completed,Jul-2026,29,0
68,BAT202607-02,ASS0017,Fresher,AUTH,Client Gamma,TR005,OJT,Virtual,2026-07-29 00:00:00,2026-08-22 00:00:00,25,25,200,179.2,136.8,42.4,203.4,88.1,79,1,Yes,81.3,62.5,5,0,1.1,Completed,Jul-2026,31,0
69,BAT202604-02,ASS0018,Experienced,AUTH,Client Beta,TR004,Generic Training,Floor,2026-04-25 00:00:00,2026-04-28 00:00:00,4,4,32,29.5,19.6,9.9,33,89.4,82,2,No,80.5,69.6,1,2,2.1,Completed,Apr-2026,17,0
70,BAT202604-02,ASS0018,Experienced,AUTH,Client Beta,TR004,CST,Classroom,2026-04-29 00:00:00,2026-05-01 00:00:00,3,3,24,23.5,17.1,6.4,25.7,91.4,86,1,Yes,69,84.9,1,1,0.4,Completed,Apr-2026,18,0
71,BAT202605-02,ASS0018,Experienced,AUTH,Client Beta,TR004,LAW,Hybrid,2026-05-02 00:00:00,2026-05-06 00:00:00,5,5,40,36.5,24.1,12.4,41.6,87.7,80,1,Yes,85.8,83.8,12,0,0.6,Completed,May-2026,18,0
72,BAT202605-02,ASS0018,Experienced,AUTH,Client Beta,TR004,OJT,Virtual,2026-05-07 00:00:00,2026-05-20 00:00:00,15,14,120,114,96,18,118,96.6,88,2,No,90.8,89,5,2,3.4,Completed,May-2026,19,0
73,BAT202601-02,ASS0019,Fresher,Charge Entry,River Health,TR006,Generic Training,Floor,2026-01-15 00:00:00,2026-01-21 00:00:00,7,7,56,52.6,46.4,6.2,56.2,93.6,88,1,Yes,86.5,65.7,2,1,1.8,Completed,Jan-2026,3,0
74,BAT202601-02,ASS0019,Fresher,Charge Entry,River Health,TR006,CST,Floor,2026-01-22 00:00:00,2026-01-24 00:00:00,4,3,32,30.4,22.3,8.1,32.9,92.4,85,1,Yes,85.2,67.9,1,2,0.2,Completed,Jan-2026,4,0
75,BAT202601-02,ASS0019,Fresher,Charge Entry,River Health,TR006,LAW,Virtual,2026-01-25 00:00:00,2026-02-03 00:00:00,10,10,80,76.7,54.7,22,80.3,95.5,82,1,Yes,96.5,85.3,6,0,0,Completed,Jan-2026,4,0
76,BAT202602-02,ASS0019,Fresher,Charge Entry,River Health,TR006,OJT,Hybrid,2026-02-04 00:00:00,2026-02-28 00:00:00,25,25,200,192.7,183.1,9.6,188.8,102.1,86,1,Yes,77.5,86.8,8,1,0.5,Completed,Feb-2026,6,0
77,BAT202608-02,ASS0020,Experienced,BRCM,Client Gamma,TR007,Generic Training,Virtual,2026-08-01 00:00:00,2026-08-03 00:00:00,3,3,24,21.6,14.2,7.4,23.7,91.1,68,2,No,92,81.1,1,3,2.6,Completed,Aug-2026,31,0
78,BAT202608-02,ASS0020,Experienced,BRCM,Client Gamma,TR007,CST,Floor,2026-08-04 00:00:00,2026-08-06 00:00:00,3,3,24,24,13.4,10.6,22.3,107.6,87,1,Yes,81.3,71.9,1,1,1.1,Completed,Aug-2026,32,0
79,BAT202608-02,ASS0020,Experienced,BRCM,Client Gamma,TR007,LAW,Virtual,2026-08-07 00:00:00,2026-08-11 00:00:00,5,5,40,38.7,36.1,2.6,41.6,93,70,1,Yes,76.1,98.7,7,0,1.3,Completed,Aug-2026,32,0
80,BAT202608-02,ASS0020,Experienced,BRCM,Client Gamma,TR007,OJT,Classroom,2026-08-12 00:00:00,2026-08-26 00:00:00,15,15,120,115.8,70.7,45.1,111.6,103.8,78,3,No,80,89.9,5,0,3.4,Completed,Aug-2026,33,0
81,BAT202608-03,ASS0021,Fresher,BRCM,River Health,TR005,Generic Training,Floor,2026-08-11 00:00:00,2026-08-15 00:00:00,5,5,40,36.3,29.1,7.2,40.2,90.3,86,1,Yes,81.8,62.1,2,1,0.4,Completed,Aug-2026,33,0
82,BAT202608-03,ASS0021,Fresher,BRCM,River Health,TR005,CST,Hybrid,2026-08-16 00:00:00,2026-08-18 00:00:00,3,3,24,24,16.2,7.8,24,100,76,3,No,94.7,86.7,0,2,5,Completed,Aug-2026,33,0
83,BAT202608-03,ASS0021,Fresher,BRCM,River Health,TR005,LAW,Virtual,2026-08-19 00:00:00,2026-08-28 00:00:00,10,10,80,73.4,45.6,27.8,74.3,98.8,87,1,Yes,86.4,82.6,7,1,1.4,Completed,Aug-2026,34,0
84,BAT202608-03,ASS0021,Fresher,BRCM,River Health,TR005,OJT,Floor,2026-08-29 00:00:00,2026-09-24 00:00:00,25,27,200,164.3,109,55.3,197.6,83.1,77,1,Yes,81.1,79,6,0,1.8,Completed,Aug-2026,35,1
85,BAT202604-03,ASS0022,Fresher,CBR,Client Alpha,TR003,Generic Training,Classroom,2026-04-06 00:00:00,2026-04-11 00:00:00,6,6,48,46.3,32.9,13.4,50.6,91.5,76,1,Yes,82.9,85.9,1,1,0.1,Completed,Apr-2026,15,0
86,BAT202604-03,ASS0022,Fresher,CBR,Client Alpha,TR003,CST,Classroom,2026-04-12 00:00:00,2026-04-14 00:00:00,4,3,32,32,18.6,13.4,32.8,97.6,74,1,Yes,72.1,82,1,3,1.9,Completed,Apr-2026,15,0
87,BAT202604-03,ASS0022,Fresher,CBR,Client Alpha,TR003,LAW,Classroom,2026-04-15 00:00:00,2026-04-24 00:00:00,10,10,80,76.6,49.6,27,74.7,102.5,80,3,No,83,81.1,9,1,2.4,Completed,Apr-2026,16,0
88,BAT202604-03,ASS0022,Fresher,CBR,Client Alpha,TR003,OJT,Hybrid,2026-04-25 00:00:00,2026-05-17 00:00:00,25,23,200,199.1,116.5,82.6,192.5,103.4,72,1,Yes,91.4,93.6,2,0,0.2,Completed,Apr-2026,17,0
89,BAT202603-03,ASS0023,Experienced,AR,Revere Health,TR008,Generic Training,Hybrid,2026-03-18 00:00:00,2026-03-20 00:00:00,3,3,24,23,14.4,8.6,22.9,100.4,88,1,Yes,95.8,75.6,6,1,0.9,Completed,Mar-2026,12,0
90,BAT202603-03,ASS0023,Experienced,AR,Revere Health,TR008,CST,Hybrid,2026-03-21 00:00:00,2026-03-22 00:00:00,2,2,16,15.9,11.1,4.8,16.6,95.8,79,3,No,92,78.4,2,1,2.3,Completed,Mar-2026,12,0
91,BAT202603-03,ASS0023,Experienced,AR,Revere Health,TR008,LAW,Floor,2026-03-23 00:00:00,2026-03-27 00:00:00,5,5,40,35.6,28.9,6.7,42.4,84,99,1,Yes,88.4,76,9,1,1.1,Completed,Mar-2026,13,0
92,BAT202603-03,ASS0023,Experienced,AR,Revere Health,TR008,OJT,Hybrid,2026-03-28 00:00:00,2026-04-11 00:00:00,15,15,120,114.8,88.8,26,126.4,90.8,85,1,Yes,88,80,8,0,1.5,Completed,Mar-2026,13,0
93,BAT202608-03,ASS0024,Experienced,Charge Entry,Client Alpha,TR003,Generic Training,Virtual,2026-08-15 00:00:00,2026-08-18 00:00:00,4,4,32,32,21.8,10.2,33.5,95.5,84,1,Yes,93.5,98.8,0,0,1.2,Completed,Aug-2026,33,0
94,BAT202608-03,ASS0024,Experienced,Charge Entry,Client Alpha,TR003,CST,Virtual,2026-08-19 00:00:00,2026-08-21 00:00:00,3,3,24,21.5,14.3,7.2,22.4,96,83,1,Yes,100,100,3,0,0.7,Completed,Aug-2026,34,0
95,BAT202608-03,ASS0024,Experienced,Charge Entry,Client Alpha,TR003,LAW,Virtual,2026-08-22 00:00:00,2026-08-26 00:00:00,5,5,40,39.9,31.4,8.5,37.9,105.3,54,3,No,92.4,85.6,7,5,5.4,Completed,Aug-2026,34,0
96,BAT202608-03,ASS0024,Experienced,Charge Entry,Client Alpha,TR003,OJT,Virtual,2026-08-27 00:00:00,2026-09-12 00:00:00,15,17,120,108.6,83.7,24.9,118.8,91.4,73,1,Yes,99.4,89.3,5,3,1.8,Completed,Aug-2026,35,1
97,BAT202603-03,ASS0025,Experienced,AUTH,Client Beta,TR001,Generic Training,Classroom,2026-03-15 00:00:00,2026-03-16 00:00:00,2,2,16,14.8,9.2,5.6,16.9,87.6,81,1,Yes,92.5,90.9,3,0,1.2,Completed,Mar-2026,11,0
98,BAT202603-03,ASS0025,Experienced,AUTH,Client Beta,TR001,CST,Virtual,2026-03-17 00:00:00,2026-03-19 00:00:00,3,3,24,21.6,12.7,8.9,25.3,85.4,71,1,Yes,84.8,79.6,2,2,2,Completed,Mar-2026,12,0
99,BAT202603-03,ASS0025,Experienced,AUTH,Client Beta,TR001,LAW,Hybrid,2026-03-20 00:00:00,2026-03-24 00:00:00,5,5,40,35.6,27.8,7.8,41.4,86,69,2,No,77.4,65.8,6,0,6.2,Completed,Mar-2026,12,0
100,BAT202603-03,ASS0025,Experienced,AUTH,Client Beta,TR001,OJT,Hybrid,2026-03-25 00:00:00,2026-04-08 00:00:00,15,15,120,120,85.4,34.6,119.2,100.7,73,1,Yes,89.5,91,4,0,1.6,Completed,Mar-2026,13,0
101,BAT202606-03,ASS0026,Fresher,AR,Client Beta,TR005,Generic Training,Hybrid,2026-06-07 00:00:00,2026-06-13 00:00:00,7,7,56,49.4,37.8,11.6,54.9,90,97,1,Yes,89,73.1,1,1,0.2,Completed,Jun-2026,23,0
